,Kicker Name,Team,Opponent,Home/Away,Stadium,Stadium Type,Fantasy Points,Wind,,,,,,,,,,
3,Matt Ammendola,KC,IND,Away,Lucas Oil Stadium,Indoors,3,13,,,,,,,,,,
3,Jason Sanders,MIA,BUF,Home,Hard Rock Stadium,Outdoors,3,6,,,,,,,,,,
3,Mason Crosby,GB,TB,Away,Raymond James Stadium,Outdoors,2,4,,,,,,,,,,
3,Wil Lutz,NO,CAR,Away,Bank of America Stadium,Outdoors,2,6,,,,,,,,,,
3,Riley Patterson,JAX,LAC,Away,SoFi Stadium,Indoors,12,7,,,,,,,,,,
3,Cairo Santos,CHI,HOU,Home,Soldier Field,Outdoors,13,11,,,,,,,,,,
3,Greg Zuerlein,NYJ,CIN,Home,MetLife Stadium,Outdoors,16,8,,,,,,,,,,
3,Joey Slye,WAS,PHI,Home,Commanders Field,Outdoors,0,9,,,,,,,,,,
4,Greg Joseph,MIN,NO,Away,Caesars Superdome,Indoors,16,8,,,,,,,,,,
4,Brett Maher,DAL,WAS,Home,AT&T Stadium,Indoors,15,4,,,,,,,,,,
4,Daniel Carlson,LV,DEN,Home,Allegiant Stadium,Indoors,14,10,,,,,,,,,,
4,Jason Myers,SEA,DET,Away,Ford Field,Indoors,14,12,,,,,,,,,,
4,Chris Boswell,PIT,NYJ,Away,MetLife Stadium,Outdoors,12,5,,,,,,,,,,
4,Michael Badgley,CHI,NYG,Away,MetLife Stadium,Outdoors,12,12,,,,,,,,,,
4,Younghoe Koo,ATL,CLE,Home,Mercedes-Benz Stadium,Indoors,11,4,,,,,,,,,,
4,Evan McPherson,CIN,MIA,Home,Paycor Stadium,Outdoors,11,5,,,,,,,,,,
4,Matthew Wright,KC,TB,Away,Raymond James Stadium,Outdoors,11,5,,,,,,,,,,
4,Tyler Bass,BUF,BAL,Away,M&T Bank Stadium,Outdoors,11,12,,,,,,,,,,
4,Dustin Hopkins,LAC,HOU,Away,NRG Stadium,Indoors,10,4,,,,,,,,,,
4,Justin Tucker,BAL,BUF,Home,M&T Bank Stadium,Outdoors,10,12,,,,,,,,,,
4,Matt Gay,LAR,SF,Away,Levi's Stadium,Outdoors,9,6,,,,,,,,,,
4,Jason Sanders,MIA,CIN,Away,Paycor Stadium,Outdoors,9,5,,,,,,,,,,
4,Mason Crosby,GB,NE,Home,Lambeau Field,Outdoors,9,8,,,,,,,,,,
4,Graham Gano,NYG,CHI,Home,MetLife Stadium,Outdoors,8,12,,,,,,,,,,
4,Cade York,CLE,ATL,Away,Mercedes-Benz Stadium,Indoors,8,4,,,,,,,,,,
4,Matt Prater,ARI,CAR,Away,Bank of America Stadium,Outdoors,8,3,,,,,,,,,,
4,Wil Lutz,NO,MIN,Home,Caesars Superdome,Indoors,7,8,,,,,,,,,,
4,Ryan Succop,TB,KC,Home,Raymond James Stadium,Outdoors,7,5,,,,,,,,,,
4,Randy Bullock,TEN,IND,Away,Lucas Oil Stadium,Indoors,6,11,,,,,,,,,,
4,Greg Zuerlein,NYJ,PIT,Away,Acrisure Stadium,Outdoors,6,5,,,,,,,,,,
4,Nick Folk,NE,GB,Away,Lambeau Field,Outdoors,6,8,,,,,,,,,,
4,Eddy Piñeiro,CAR,ARI,Home,Bank of America Stadium,Outdoors,6,3,,,,,,,,,,
4,Robbie Gould,SF,LAR,Home,Levi's Stadium,Outdoors,6,6,,,,,,,,,,
4,Ka'imi Fairbairn,HOU,LAC,Home,NRG Stadium,Indoors,6,4,,,,,,,,,,
4,Brandon McManus,DEN,LV,Away,Allegiant Stadium,Indoors,5,10,,,,,,,,,,
4,Chase McLaughlin,IND,TEN,Home,Lucas Oil Stadium,Indoors,5,11,,,,,,,,,,
4,Dominik Eberle,DET,SEA,Home,Ford Field,Indoors,5,12,,,,,,,,,,
4,Jake Elliott,PHI,JAX,Away,TIAA Bank Field,Outdoors,5,12,,,,,,,,,,
4,Joey Slye,WAS,DAL,Away,AT&T Stadium,Indoors,4,4,,,,,,,,,,
4,Riley Patterson,JAX,PHI,Away,Lincoln Financial Field,Outdoors,3,12,,,,,,,,,,
